Iterations needed,Beale,Styblinski-Tang,Booth,Goldstein,Himmelblau,Matyas,Rosenbrock,Sphere
nelder,2116,1548,3418,2797,3591,2612,9330,8015,
cobyla,3800,680,2890,1796,2082,4734,0,4386,
bobyqa,2607,145,1629,1530,1697,1496,2676,827,
powell,4682,1614,7419,4544,4216,5252,931,5305,
imfil,3722,7492,4804,2526,5465,4417,0,2708,
snobfit,3102,18146,1100,11218,8240,1100,0,1300,
shgo,20600,20800,20700,21800,21400,100,0,100,
sqnomad,1986,1592,3658,2654,3751,2516,7999,8110,
ampgo_nelder,4228,277,7323,4387,3382,3472,4526,8029,
ampgo_cobyla,5100,2500,3100,15510,2400,6400,0,4300,
ampgo_bobyqa,6900,2200,1100,13302,2200,2600,17500,800,
ampgo_praxis,5428,2700,2000,4200,1600,2400,6896,3227,
ampgo_sbplx,3600,6600,3400,300,3800,1600,0,1600,
subplex,3600,6600,3400,300,3800,1600,0,1600,
dual_annealing_nelder,0,5200,15900,14700,3300,1800,0,7200,
dual_annealing_bobyqa,7000,2300,1900,8000,1200,1200,0,1500,
